cladeID	nkmers	card	gsize	csize
N6258	227360	6	468705	1078
N5824	265448	7	468715	1079
N6676	42255	2	468715	1083
N6677	68351	2	468715	1081
N6257	110601	4	468718	1083
N5823	167106	5	468722	1084
N6256	57736	2	468755	1086
N5822	93305	3	468757	1087
N5387	136520	4	468762	1088
N4993	568940	16	468813	1088
N4624	1020381	34	468974	1088
N4254	166030	2	469247	1090
N4255	4219902	115	469247	1088
N3889	4385793	117	469362	1090
N9872	55794	2	469362	1092
N9735	64586	3	469364	1093
N9871	37629	2	469386	1095
N9386	73646	7	469420	1097
N9739	64424	3	469424	1100
N9572	72786	5	469446	1102
N9736	11200	2	469446	1104
N9873	24911	2	469480	1106
N9737	48526	3	469482	1107
N9387	74305	10	469608	1107
N9171	76451	17	470069	1107
N8909	76513	18	470347	1108
N8619	76547	19	470631	1109
N8270	77127	20	470980	1110
N9169	55355	2	470980	1112
N8907	55418	3	470982	1113
N8908	75694	10	471376	1123
N8618	76591	13	471592	1123
N8269	77351	14	471784	1124
N7886	79103	34	472945	1124
N8267	38096	2	472945	1128
N8268	56247	2	472945	1126
N7885	76226	4	472950	1128
N7485	79740	38	474441	1128
N7883	52648	2	474441	1132
N7884	60100	2	474441	1130
N7484	70728	4	474449	1132
N7095	86019	42	476499	1132
N6675	89826	43	477624	1133
N6255	124709	44	478086	1134
N5821	155742	45	478345	1135
N7483	39123	2	478345	1137
N7094	39161	3	478347	1138
N6674	52926	4	478351	1139
N6254	91734	5	478355	1140
N5820	128119	6	478365	1141
N5386	280897	51	479103	1141
N4991	68310	2	479328	1144
N4992	322389	52	479328	1142
N4623	390113	54	479573	1144
N4253	466196	55	479609	1145
N8266	82819	7	479658	1152
N7882	153246	8	479673	1153
N7482	154040	9	479704	1154
N7093	154156	10	479745	1155
N6673	154226	11	479802	1156
N5819	154640	13	479955	1158
N5385	154653	14	479961	1159
N4990	156254	15	480070	1160
N6672	77499	2	480070	1162
N6252	82005	3	480072	1163
N5818	107830	4	480078	1164
N5384	108105	5	480091	1165
N6251	116467	2	480091	1167
N5817	130394	3	480093	1168
N5383	144409	4	480099	1169
N4989	158511	9	480316	1169
N4622	256785	24	481341	1169
N4252	351612	25	481448	1170
N3888	817715	80	481497	1170
N3529	5203235	197	481736	1170
N3180	88614293	1000	485081	1170
N6250	73452	2	485081	1172
N5816	139135	3	485082	1173
N5382	203145	4	485086	1174
N5815	148235	2	485086	1176
N5381	214053	3	485088	1177
N4988	416883	7	485134	1177
N4621	498418	8	485164	1178
N5380	135782	2	485164	1180
N4987	204913	3	485166	1181
N4620	278542	4	485171	1182
N4251	776479	12	485325	1182
N4986	131671	2	485325	1184
N4618	159882	2	485327	1187
N4619	193720	3	485327	1185
N4250	353136	5	485345	1187
N3887	1129243	17	485530	1187
